regime,mode,volume_threshold,hft_frac,n_runs,vol_ratio_mean,vol_ratio_std,vol_ratio_ci_low,vol_ratio_ci_high,spread_ratio_mean,spread_ratio_std,spread_ratio_ci_low,spread_ratio_ci_high,max_drawdown_mean,max_drawdown_std,max_drawdown_ci_low,max_drawdown_ci_high,recovery_time_mean,recovery_time_std,recovery_time_ci_low,recovery_time_ci_high,mm_stress_ratio_mean,mm_stress_ratio_std,mm_stress_ratio_ci_low,mm_stress_ratio_ci_high,avg_sub_iters_mean,avg_sub_iters_std,avg_sub_iters_ci_low,avg_sub_iters_ci_high,threshold_hit_rate_mean,threshold_hit_rate_std,threshold_hit_rate_ci_low,threshold_hit_rate_ci_high,executed_volume_total_mean,executed_volume_total_std,executed_volume_total_ci_low,executed_volume_total_ci_high,book_depleted_rate_mean,book_depleted_rate_std,book_depleted_rate_ci_low,book_depleted_rate_ci_high,calendar_volume_per_tick_target_mean,calendar_volume_per_tick_target_std,calendar_volume_per_tick_target_ci_low,calendar_volume_per_tick_target_ci_high,vstar_to_calendar_tick_ratio_mean,vstar_to_calendar_tick_ratio_std,vstar_to_calendar_tick_ratio_ci_low,vstar_to_calendar_tick_ratio_ci_high
calendar,calendar,,0.0,30,2.1247612171505437,0.9867210849972858,1.8100204197450225,2.481828608929217,2.050267893134293,0.871139132115117,1.779097731543326,2.361206669678086,0.14702526334287425,0.03707846981197169,0.13477181705635466,0.16099966762273674,32.5,46.03203532174163,20.665833333333335,50.7025,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6295.6,285.4496271764467,6201.566666666667,6392.21,0.0,0.0,0.0,0.0,12.591199999999999,1.8067241133067846e-15,12.591199999999999,12.591199999999999,,,,
calendar,calendar,,0.1,30,1.963943650655925,1.0422117970177052,1.6300702390349169,2.35651047190315,2.0044556591965863,1.2264650731092195,1.600726123089116,2.479041451528498,0.16258483628124512,0.05039877867207659,0.14496632325721379,0.17914735862541603,41.13333333333333,62.27510341819696,21.333333333333332,67.17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6836.733333333334,447.1828240897894,6672.128333333334,6993.0075,0.0,0.0,0.0,0.0,12.591199999999999,1.8067241133067846e-15,12.591199999999999,12.591199999999999,,,,
calendar,calendar,,0.2,30,1.8886259565497587,1.05642997929606,1.571819442221652,2.284005252166088,1.9621495323863438,1.082258905335791,1.614238200989398,2.3754398766846365,0.15547798849396002,0.0510760941232976,0.13926539060465815,0.17414888310851442,34.53333333333333,58.94517226485417,18.1,60.37333333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7031.7,547.0506595717904,6857.9141666666665,7231.7025,0.0,0.0,0.0,0.0,12.591199999999999,1.8067241133067846e-15,12.591199999999999,12.591199999999999,,,,
calendar,calendar,,0.3,30,2.2357892571857265,1.1071717816945628,1.8715607609609355,2.6381875445151186,2.2119855579700856,0.9749917343381329,1.8839079880536291,2.53680606609814,0.17604386713152775,0.07455623699901487,0.15078698694183149,0.20234017718296626,21.2,14.851912683046164,16.2,26.8025,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7337.7,463.70740997849657,7174.565,7510.552500000001,0.0,0.0,0.0,0.0,12.591199999999999,1.8067241133067846e-15,12.591199999999999,12.591199999999999,,,,
calendar,calendar,,0.4,30,2.5633265605649265,1.672532185229006,2.041013921049911,3.2185104198113055,2.3641043366848753,1.2862945904044363,1.9362026381525659,2.8747680208968545,0.1890421236479813,0.09629748475213802,0.15892301968192546,0.22498703246207516,31.9,50.48820278728145,18.165833333333335,52.66916666666666,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7775.866666666667,591.956471683363,7567.425,7973.788333333333,0.0,0.0,0.0,0.0,12.591199999999999,1.8067241133067846e-15,12.591199999999999,12.591199999999999,,,,
calendar,calendar,,0.5,30,2.0564461659756157,0.7248384983464994,1.7993777684589431,2.3350704474223622,2.0091790763220905,0.6774300346512748,1.7664414301502929,2.254368870574746,0.20315104343428517,0.08848162056538274,0.17330718213454488,0.23439879040362566,28.133333333333333,30.294796791589114,19.399166666666666,39.735,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,8121.033333333334,483.6531589485585,7955.083333333334,8297.968333333334,0.0032,0.017527121840165315,0.0,0.009600000000000001,12.591199999999999,1.8067241133067846e-15,12.591199999999999,12.591199999999999,,,,
calendar,calendar,,0.6,30,2.4005949170107823,1.601346980167187,1.846206627903779,3.0207528456631674,2.535655397874185,2.0846139458693793,1.9066836074077753,3.3382402930425794,0.22280410366097658,0.1118473323655068,0.18576360899014072,0.26341023647805334,47.733333333333334,74.6933655057443,26.03166666666667,76.36833333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,8494.8,524.0179254633342,8312.649166666666,8679.118333333334,0.0,0.0,0.0,0.0,12.591199999999999,1.8067241133067846e-15,12.591199999999999,12.591199999999999,,,,
calendar,calendar,,0.7,30,2.9846597107164987,2.276305483286637,2.2366521465405564,3.8951080389223875,3.3661345080877685,3.7520261904204983,2.2911558259905247,4.91670048293235,0.2625667440604911,0.09211127639710741,0.23318346499815776,0.29462299901271793,63.93333333333333,98.48890479549509,32.125,99.04083333333332,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,8911.466666666667,480.059244428143,8762.1325,9088.235833333334,0.0,0.0,0.0,0.0,12.591199999999999,1.8067241133067846e-15,12.591199999999999,12.591199999999999,,,,
calendar,calendar,,0.8,30,2.7962403189281226,1.5584380208632431,2.2637618659504346,3.372961959563894,2.6948539514931182,1.8290935691002048,2.089862725014582,3.3410197727633295,0.2741541088518493,0.1318592773973881,0.22929607816050485,0.3170649347297866,40.63333333333333,62.55341625409016,21.63,65.51666666666665,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,9203.3,453.085296833716,9048.609166666667,9353.279999999999,0.0,0.0,0.0,0.0,12.591199999999999,1.8067241133067846e-15,12.591199999999999,12.591199999999999,,,,
calendar,calendar,,0.9,30,3.134076596768131,2.341822846703694,2.3694945162239773,4.041651136531692,3.5469545371050226,3.804032318058077,2.4227435592697724,5.029242850163109,0.3318969440253434,0.16355184230268638,0.28243684850239703,0.3935485713337482,54.53333333333333,78.01579563021896,30.124166666666667,84.74083333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,9828.533333333333,562.9189770407849,9642.2225,10036.000833333334,0.0,0.0,0.0,0.0,12.591199999999999,1.8067241133067846e-15,12.591199999999999,12.591199999999999,,,,
calendar,calendar,,1.0,30,2.837014746717346,1.3835268875556224,2.4157507353366134,3.365879535881047,2.88258749193951,2.0442035412798867,2.2391350606208054,3.662705149977908,0.31421632161926966,0.14325322544094815,0.2674089504940627,0.3651982882998046,45.8,61.92063886331745,27.496666666666666,71.4375,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,10024.466666666667,593.3583980241176,9840.0275,10241.166666666666,0.0,0.0,0.0,0.0,12.591199999999999,1.8067241133067846e-15,12.591199999999999,12.591199999999999,,,,
