mode,regime,volume_threshold,hft_frac,run,seed,n_ticks,shock_tick,shock_dp,speed_multiplier,softlimit,n_random,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_stress_ratio,avg_sub_iters,max_sub_iters_observed,threshold_hit_rate,executed_volume_total,book_depleted_rate,calendar_volume_per_tick_target,vstar_to_calendar_tick_ratio
calendar,calendar,,0.0,0,42,500,200,-10,2,100,5,1.2549623013786926,1.0825244866579542,0.11421098517872719,37,0.0,1.0,1,1.0,6296,0.0,,
calendar,calendar,,0.0,1,10042,500,200,-10,2,100,5,1.8683586101458292,1.7190624532997159,0.1646216768916155,11,0.0,1.0,1,1.0,6129,0.0,,
calendar,calendar,,0.0,2,20042,500,200,-10,2,100,5,1.032717955105897,1.1830859869226356,0.12175873731679816,32,0.0,1.0,1,1.0,6552,0.0,,
calendar,calendar,,0.0,3,30042,500,200,-10,2,100,5,1.413693811122516,1.264448136064438,0.19169960474308306,260,0.0,1.0,1,1.0,6524,0.0,,
calendar,calendar,,0.0,4,40042,500,200,-10,2,100,5,1.411591979497514,1.6640294835482374,0.12552742616033746,7,0.0,1.0,1,1.0,5883,0.0,,
calendar,calendar,,0.0,5,50042,500,200,-10,2,100,5,0.9898409615164596,1.1031680118187486,0.23138297872340421,29,0.0,1.0,1,1.0,6892,0.0,,
calendar,calendar,,0.0,6,60042,500,200,-10,2,100,5,1.9447269803715046,2.286470806909586,0.13029989658738375,8,0.0,1.0,1,1.0,6136,0.0,,
calendar,calendar,,0.0,7,70042,500,200,-10,2,100,5,2.0300192687225675,2.191809860096737,0.13761467889908258,36,0.0,1.0,1,1.0,6855,0.0,,
calendar,calendar,,0.0,8,80042,500,200,-10,2,100,5,1.040005497675992,1.1612278837907026,0.14226804123711337,33,0.0,1.0,1,1.0,5876,0.0,,
calendar,calendar,,0.0,9,90042,500,200,-10,2,100,5,3.769595804116065,3.8715462922663804,0.21116279069767444,60,0.0,1.0,1,1.0,6577,0.0,,
calendar,calendar,,0.0,10,100042,500,200,-10,2,100,5,5.107618487810257,4.540042704292845,0.13590263691683563,13,0.0,1.0,1,1.0,6246,0.0,,
calendar,calendar,,0.0,11,110042,500,200,-10,2,100,5,3.9247573135092653,3.0539354791761624,0.2184643510054845,85,0.0,1.0,1,1.0,6623,0.0,,
calendar,calendar,,0.0,12,120042,500,200,-10,2,100,5,1.4951352137131682,1.3392103096722563,0.11134676564156946,12,0.0,1.0,1,1.0,5884,0.0,,
calendar,calendar,,0.0,13,130042,500,200,-10,2,100,5,2.23776149487166,2.3139833566189147,0.12159709618874778,31,0.0,1.0,1,1.0,6355,0.0,,
calendar,calendar,,0.0,14,140042,500,200,-10,2,100,5,3.4670757711521842,3.502566089181489,0.21057786483839375,42,0.0,1.0,1,1.0,6301,0.0,,
calendar,calendar,,0.0,15,150042,500,200,-10,2,100,5,2.4107443293936637,2.51649729690726,0.127659574468085,27,0.0,1.0,1,1.0,6426,0.0,,
calendar,calendar,,0.0,16,160042,500,200,-10,2,100,5,1.3983389319359398,1.4041014977585193,0.179245283018868,26,0.0,1.0,1,1.0,6199,0.0,,
calendar,calendar,,0.0,17,170042,500,200,-10,2,100,5,2.550606330666373,2.121975851213388,0.10511089681774355,21,0.0,1.0,1,1.0,6191,0.0,,
calendar,calendar,,0.0,18,180042,500,200,-10,2,100,5,2.1070475569721343,1.8550151253503693,0.12409513960703206,21,0.0,1.0,1,1.0,6350,0.0,,
calendar,calendar,,0.0,19,190042,500,200,-10,2,100,5,1.4600197636704375,1.7040717682639666,0.12605042016806722,18,0.0,1.0,1,1.0,5870,0.0,,
calendar,calendar,,0.0,20,200042,500,200,-10,2,100,5,2.3900727905395236,2.1465326492430012,0.1584362139917696,17,0.0,1.0,1,1.0,6469,0.0,,
calendar,calendar,,0.0,21,210042,500,200,-10,2,100,5,1.4027279606699732,1.3142991587532198,0.15219611848825337,11,0.0,1.0,1,1.0,6382,0.0,,
calendar,calendar,,0.0,22,220042,500,200,-10,2,100,5,2.7984718720431054,2.9886172492146788,0.12725344644750797,26,0.0,1.0,1,1.0,6250,0.0,,
calendar,calendar,,0.0,23,230042,500,200,-10,2,100,5,2.6577400785548515,2.2317540797725837,0.18776371308016876,27,0.0,1.0,1,1.0,6534,0.0,,
calendar,calendar,,0.0,24,240042,500,200,-10,2,100,5,1.5846350667798943,1.647333077638637,0.11562499999999994,14,0.0,1.0,1,1.0,6140,0.0,,
calendar,calendar,,0.0,25,250042,500,200,-10,2,100,5,2.9085860327447044,2.4857441954409,0.17226890756302526,4,0.0,1.0,1,1.0,6676,0.0,,
calendar,calendar,,0.0,26,260042,500,200,-10,2,100,5,2.787432258960257,2.6375226941493484,0.13389121338912133,10,0.0,1.0,1,1.0,5919,0.0,,
calendar,calendar,,0.0,27,270042,500,200,-10,2,100,5,1.0996873526506177,1.0614710587052025,0.09528301886792448,19,0.0,1.0,1,1.0,5896,0.0,,
calendar,calendar,,0.0,28,280042,500,200,-10,2,100,5,1.8593969896303524,1.7163591854784976,0.12771996215704826,19,0.0,1.0,1,1.0,6132,0.0,,
calendar,calendar,,0.0,29,290042,500,200,-10,2,100,5,1.339467748594909,1.399630565822428,0.10972346119536126,19,0.0,1.0,1,1.0,6305,0.0,,
calendar,calendar,,0.1,0,52,500,200,-10,2,100,5,2.2036377184618483,1.8259622421108337,0.14482758620689648,7,0.0,1.0,1,1.0,6544,0.0,,
calendar,calendar,,0.1,1,10052,500,200,-10,2,100,5,0.7970150131363201,0.7115262905847165,0.08442982456140354,6,0.0,1.0,1,1.0,6820,0.0,,
calendar,calendar,,0.1,2,20052,500,200,-10,2,100,5,3.0761744359721472,2.5657050500300205,0.21690767519466073,41,0.0,1.0,1,1.0,7250,0.0,,
calendar,calendar,,0.1,3,30052,500,200,-10,2,100,5,1.628120970269656,1.4067043617103745,0.10389610389610393,54,0.0,1.0,1,1.0,6174,0.0,,
calendar,calendar,,0.1,4,40052,500,200,-10,2,100,5,1.8244348904506058,1.5009004850034116,0.11484290357529789,6,0.0,1.0,1,1.0,6394,0.0,,
calendar,calendar,,0.1,5,50052,500,200,-10,2,100,5,1.7714759271552039,1.5502451037517455,0.1890547263681592,25,0.0,1.0,1,1.0,7203,0.0,,
calendar,calendar,,0.1,6,60052,500,200,-10,2,100,5,1.4496726959831465,1.3472613611902964,0.1996179560649475,25,0.0,1.0,1,1.0,6832,0.0,,
calendar,calendar,,0.1,7,70052,500,200,-10,2,100,5,1.183882230348654,1.049443783207202,0.13566289825282635,22,0.0,1.0,1,1.0,6960,0.0,,
calendar,calendar,,0.1,8,80052,500,200,-10,2,100,5,1.2528202978704885,1.22960213271217,0.08506787330316747,18,0.0,1.0,1,1.0,6611,0.0,,
calendar,calendar,,0.1,9,90052,500,200,-10,2,100,5,0.8987280699158143,0.7843533055449405,0.10152284263959391,12,0.0,1.0,1,1.0,6280,0.0,,
calendar,calendar,,0.1,10,100052,500,200,-10,2,100,5,0.9092529590299939,1.143147610397318,0.1075027995520716,1,0.0,1.0,1,1.0,6949,0.0,,
calendar,calendar,,0.1,11,110052,500,200,-10,2,100,5,2.711934477921682,2.1505210762760343,0.20233050847457634,18,0.0,1.0,1,1.0,6839,0.0,,
calendar,calendar,,0.1,12,120052,500,200,-10,2,100,5,2.1206551147297104,2.9562786873981315,0.18133047210300435,1,0.0,1.0,1,1.0,7254,0.0,,
calendar,calendar,,0.1,13,130052,500,200,-10,2,100,5,2.8624714931128517,2.9065129191246064,0.23182711198428285,53,0.0,1.0,1,1.0,7131,0.0,,
calendar,calendar,,0.1,14,140052,500,200,-10,2,100,5,2.038134384313374,1.7999021186404724,0.1843460350154479,24,0.0,1.0,1,1.0,6535,0.0,,
calendar,calendar,,0.1,15,150052,500,200,-10,2,100,5,1.315158361403409,1.54400272433825,0.12487100103199182,7,0.0,1.0,1,1.0,6648,0.0,,
calendar,calendar,,0.1,16,160052,500,200,-10,2,100,5,1.7710036488842482,2.438996514950699,0.13641364136413647,138,0.0,1.0,1,1.0,5848,0.0,,
